"ResFreq [GHz]","ResFreq2 [GHz]","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
290,300,125,0.263219979781444,0.58259659794204
290,300,125.625,0.264222203285216,0.673784641187402
290,300,126.25,0.265231578237086,0.764669154349056
290,300,126.875,0.266248110305333,0.855257541142025
290,300,127.5,0.26727180915035,0.945557103645513
290,300,128.125,0.26830268839519,1.03557504552948
290,300,128.75,0.269340765599026,1.12531847520417
290,300,129.375,0.270386062233433,1.2147944088956
290,300,130,0.271438603661426,1.30400977364985
290,300,130.625,0.27249841911934,1.39297141026915
290,300,131.25,0.273565541701384,1.48168607618235
290,300,131.875,0.274640008346905,1.57016044825251
290,300,132.5,0.27572185983039,1.65840112552414
290,300,133.125,0.276811140754059,1.74641463191259
290,300,133.75,0.277907899543161,1.834207418838
290,300,134.375,0.279012188443902,1.92178586780602
290,300,135,0.280124063523971,2.00915629293784
290,300,135.625,0.281243584675692,2.09632494345133
290,300,136.25,0.28237081562187,2.1832980060958
290,300,136.875,0.283505823924119,2.27008160754217
290,300,137.5,0.2846486809939,2.35668181673072
290,300,138.125,0.285799462106206,2.44310464717828
290,300,138.75,0.286958246415801,2.52935605924683
290,300,139.375,0.288125116976176,2.61544196237533
290,300,140,0.289300160761135,2.70136821727659
290,300,140.625,0.290483468689065,2.78714063810096
290,300,141.25,0.29167513564994,2.87276499456856
290,300,141.875,0.292875260535011,2.95824701407175
290,300,142.5,0.294083946269273,3.04359238374935
290,300,143.125,0.295301299846728,3.12880675253458
290,300,143.75,0.296527432368441,3.21389573317779
290,300,144.375,0.297762459083502,3.29886490424604
290,300,145,0.299006499432825,3.3837198121007
290,300,145.625,0.300259677095955,3.46846597285469
290,300,146.25,0.301522120040827,3.55310887431094
290,300,146.875,0.302793960576567,3.63765397788328
290,300,147.5,0.304075335409415,3.72210672050149
290,300,148.125,0.305366385701793,3.80647251650161
290,300,148.75,0.306667257134589,3.89075675950321
290,300,149.375,0.307978099972713,3.9749648242748
290,300,150,0.309299069134034,4.05910206858877
290,300,150.625,0.310630324261741,4.14317383506737
290,300,151.25,0.311972029800181,4.22718545302093
290,300,151.875,0.313324355074303,4.31114224027963
290,300,152.5,0.314687474372836,4.39504950502039
290,300,153.125,0.316061567035114,4.47891254758996
290,300,153.75,0.31744681754188,4.56273666232562
290,300,154.375,0.318843415609983,4.64652713937494
290,300,155,0.320251556291207,4.73028926651576
290,300,155.625,0.32167144007521,4.81402833097776
290,300,156.25,0.323103272996832,4.89774962126714
290,300,156.875,0.324547266747805,4.98145842899538
290,300,157.5,0.326003638792996,5.0651600507139
290,300,158.125,0.327472612491352,5.14885978975549
290,300,158.75,0.328954417221713,5.23256295808434
290,300,159.375,0.330449288513485,5.31627487815567
290,300,160,0.331957468182614,5.40000088478663
290,300,160.625,0.333479204472709,5.48374632703973
290,300,161.25,0.335014752201684,5.56751657012027
290,300,161.875,0.336564372914056,5.65131699728927
290,300,162.5,0.338128335039052,5.73515301179331
290,300,163.125,0.339706914054699,5.81903003881278
290,300,163.75,0.341300392658223,5.90295352743019
290,300,164.375,0.342909060942773,5.98692895261982
290,300,165,0.344533216580891,6.07096181726065
290,300,165.625,0.346173165014849,6.15505765417383
290,300,166.25,0.347829219654035,6.23922202818667
290,300,166.875,0.349501702079845,6.32346053822453
290,300,167.5,0.351190942258141,6.40777881943256
290,300,168.125,0.352897278759653,6.492182545329
290,300,168.75,0.354621058988585,6.57667742999175
290,300,169.375,0.356362639419763,6.66126923028026
290,300,170,0.358122385844584,6.74596374809446
290,300,170.625,0.359900673626134,6.83076683267283
290,300,171.25,0.361697887963848,6.91568438293157
290,300,171.875,0.363514424167983,7.00072234984694
290,300,172.5,0.365350687944393,7.08588673888299
290,300,173.125,0.367207095689938,7.17118361246677
290,300,173.75,0.369084074798905,7.25661909251336
290,300,174.375,0.370982063981009,7.34219936300315
290,300,175,0.372901513591281,7.42793067261361
290,300,175.625,0.374842885972416,7.51381933740826
290,300,176.25,0.376806655810007,7.59987174358526
290,300,176.875,0.378793310501278,7.68609435028851
290,300,177.5,0.380803350537767,7.77249369248375
290,300,178.125,0.382837289902581,7.85907638390283
290,300,178.75,0.384895656482848,7.94584912005899
290,300,179.375,0.386978992497922,8.03281868133626
290,300,180,0.389087854944067,8.11999193615612
290,300,180.625,0.391222816056298,8.20737584422493
290,300,181.25,0.393384463788056,8.29497745986543
290,300,181.875,0.395573402309527,8.38280393543594
290,300,182.5,0.397790252525434,8.47086252484099
290,300,183.125,0.400035652613032,8.5591605871374
290,300,183.75,0.402310258581283,8.64770559023949
290,300,184.375,0.404614744852097,8.73650511472814
290,300,185,0.406949804864602,8.82556685776752
290,300,185.625,0.409316151703484,8.91489863713452
290,300,186.25,0.41171451875242,9.00450839536524
290,300,186.875,0.414145660373816,9.09440420402386
290,300,187.5,0.416610352615906,9.18459426809862
290,300,188.125,0.419109393948581,9.27508693053071
290,300,188.75,0.421643606029167,9.36589067688134
290,300,189.375,0.424213834499542,9.45701414014309
290,300,190,0.426820949816093,9.54846610570143
290,300,190.625,0.429465848113975,9.64025551645305
290,300,191.25,0.432149452107267,9.73239147808745
290,300,191.875,0.434872712026762,9.8248832645388
290,300,192.5,0.437636606597175,9.91774032361552
290,300,193.125,0.440442144055535,10.010972282815
290,300,193.75,0.443290363212874,10.1045889553315
290,300,194.375,0.44618233456124,10.1986003462657
290,300,195,0.449119161428166,10.2930166590445
290,300,195.625,0.452101981181018,10.3878483020601
290,300,196.25,0.455131966483613,10.4831058955381
290,300,196.875,0.458210326607658,10.5788002786453
290,300,197.5,0.461338308801807,10.674942516846
290,300,198.125,0.464517199721156,10.7715439095198
290,300,198.75,0.467748326920248,10.8686159978512
290,300,199.375,0.471033060412767,10.9661705730039
290,300,200,0.474372814301401,11.0642196845919
290,300,200.625,0.477769048481357,11.1627756494613
290,300,201.25,0.481223270421423,11.2618510607965
290,300,201.875,0.484737037026558,11.3614587975663
290,300,202.5,0.488311956586316,11.4616120343243
290,300,203.125,0.491949690813555,11.5623242513809
290,300,203.75,0.495651956978282,11.6636092453638
290,300,204.375,0.499420530141669,11.7654811401846
290,300,205,0.503257245495624,11.8679543984319
290,300,205.625,0.507164000813664,11.9710438332087
290,300,206.25,0.511142759019054,12.0747646204377
290,300,206.875,0.515195550876736,12.1791323116546
290,300,207.5,0.519324477815842,12.2841628473147
290,300,208.125,0.523531714889992,12.3898725706357
290,300,208.75,0.527819513883196,12.4962782420043
290,300,209.375,0.532190206569439,12.6033970539733
290,300,210,0.536646208134738,12.711246646878
290,300,210.625,0.541190020770946,12.8198451251036
290,300,211.25,0.545824237451183,12.9292110740351
290,300,211.875,0.550551545897322,13.0393635777238
290,300,212.5,0.55537473275097,13.1503222373072
290,300,213.125,0.560296687959599,13.2621071902208
290,300,213.75,0.565320409390811,13.374739130241
290,300,214.375,0.570449007688236,13.4882393284029
290,300,215,0.575685711383597,13.6026296548387
290,300,215.625,0.581033872280447,13.7179326015838
290,300,216.25,0.58649697112615,13.834171306402
290,300,216.875,0.592078623589827,13.9513695776842
290,300,217.5,0.597782586565223,14.0695519204767
290,300,218.125,0.603612764818694,14.1887435637017
290,300,218.75,0.60957321800418,14.3089704886324
290,300,219.375,0.615668168068178,14.4302594586931
290,300,220,0.621902007069893,14.5526380506557
290,300,220.625,0.628279305443066,14.6761346873109
290,300,221.25,0.634804820728301,14.8007786716957
290,300,221.875,0.641483506806564,14.9266002229658
290,300,222.5,0.648320523666979,15.053630514005
290,300,223.125,0.65532124774439,15.1819017108712
290,300,223.75,0.662491282864906,15.3114470141855
290,300,224.375,0.669836471840531,15.4423007025762
290,300,225,0.677362908757133,15.5744981782988
290,300,225.625,0.685076952003313,15.70807601516
290,300,226.25,0.692985238091699,15.8430720088825
290,300,226.875,0.701094696328,15.9795252300581
290,300,227.5,0.709412564387411,16.1174760798446
290,300,228.125,0.717946404863373,16.2569663485741
290,300,228.75,0.726704122858007,16.3980392774528
290,300,229.375,0.73569398468993,16.5407396235424
290,300,230,0.744924637800986,16.6851137282309
290,300,230.625,0.754405131950372,16.8312095894106
290,300,231.25,0.764144941791777,16.9790769376019
290,300,231.875,0.774153990937599,17.1287673162742
290,300,232.5,0.784442677622752,17.2803341666385
