"ResFreq [GHz]","ResFreq2 [GHz]","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
300,290,125,0.265790222766057,-0.0558443972822875
300,290,125.625,0.266713685439421,0.037059985220718
300,290,126.25,0.26764415113706,0.129622503283235
300,290,126.875,0.268581646813215,0.221850659634102
300,290,127.5,0.26952620098233,0.313751844609232
300,290,128.125,0.270477843733091,0.405333339471647
300,290,128.75,0.27143660674339,0.496602319646858
300,290,129.375,0.272402523296551,0.587565857876618
300,290,130,0.27337562829843,0.678230927294179
300,290,130.625,0.274355958295696,0.768604404423904
300,290,131.25,0.275343551495182,0.858693072108162
300,290,131.875,0.276338447784292,0.94850362236411
300,290,132.5,0.277340688752514,1.03804265917312
300,290,133.125,0.278350317714031,1.12731670120532
300,290,133.75,0.27936737973145,1.2163321844817
300,290,134.375,0.28039192164068,1.30509546497626
300,290,135,0.281423992076869,1.39361282116035
300,290,135.625,0.28246364150159,1.48189045649157
300,290,136.25,0.283510922231128,1.56993450184926
300,290,136.875,0.284565888465976,1.6577510179188
300,290,137.5,0.285628596321523,1.74534599752657
300,290,138.125,0.286699103859971,1.83272536792773
300,290,138.75,0.287777471123485,1.91989499304852
300,290,139.375,0.28886376016863,2.00686067568507
300,290,140,0.289958035102022,2.09362815966045
300,290,140.625,0.291060362117417,2.18020313194169
300,290,141.25,0.292170809534007,2.26659122471849
300,290,141.875,0.293289447836137,2.35279801744527
300,290,142.5,0.294416349714443,2.4388290388481
300,290,143.125,0.295551590108345,2.52468976889811
300,290,143.75,0.296695246250055,2.61038564075298
300,290,144.375,0.29784739771005,2.6959220426678
300,290,145,0.299008126444044,2.7813043198769
300,290,145.625,0.30017751684155,2.86653777644809
300,290,146.25,0.301355655776039,2.95162767711045
300,290,146.875,0.302542632656726,3.03657924905739
300,290,147.5,0.303738539482011,3.12139768372593
300,290,148.125,0.304943470894698,3.20608813855379
300,290,148.75,0.306157524238916,3.29065573871531
300,290,149.375,0.307380799618913,3.3751055788377
300,290,150,0.308613399959667,3.45944272469861
300,290,150.625,0.309855431069441,3.54367221490644
300,290,151.25,0.311107001704301,3.62779906256431
300,290,151.875,0.312368223634636,3.71182825691917
300,290,152.5,0.313639211713784,3.79576476499693
300,290,153.125,0.314920083948801,3.87961353322494
300,290,153.75,0.316210961573409,3.9633794890428
300,290,154.375,0.317511969123252,4.04706754250271
300,290,155,0.31882323451343,4.13068258786043
300,290,155.625,0.320144889118517,4.21422950515792
300,290,156.25,0.321477067854991,4.29771316179875
300,290,156.875,0.322819909266287,4.38113841411742
300,290,157.5,0.324173555610404,4.46451010894354
300,290,158.125,0.325538152950327,4.54783308516204
300,290,158.75,0.326913851247167,4.63111217527044
300,290,159.375,0.328300804456275,4.71435220693423
300,290,160,0.329699170626273,4.79755800454143
300,290,160.625,0.331109112001201,4.88073439075739
300,290,161.25,0.332530795125891,4.96388618808091
300,290,161.875,0.33396439095452,5.04701822040269
300,290,162.5,0.335410074962688,5.13013531456731
300,290,163.125,0.336868027262905,5.21324230193959
300,290,163.75,0.338338432723783,5.29634401997673
300,290,164.375,0.339821481092902,5.37944531380696
300,290,165,0.341317367123626,5.46255103781614
300,290,165.625,0.342826290705894,5.54566605724317
300,290,166.25,0.344348457001135,5.62879524978548
300,290,166.875,0.345884076581539,5.71194350721569
300,290,167.5,0.347433365573694,5.79511573701059
300,290,168.125,0.34899654580687,5.87831686399354
300,290,168.75,0.350573844966032,5.96155183199174
300,290,169.375,0.352165496749814,6.04482560550916
