"ResFreq [GHz]","ResFreq2 [GHz]","Freq [GHz]","dB(S(1,1)) []"
290,300,125,-0.0914422029270162
290,300,125.625,-0.0917862334041206
290,300,126.25,-0.0921321224226644
290,300,126.875,-0.0924798706280471
290,300,127.5,-0.0928294798540716
290,300,128.125,-0.0931809531141569
290,300,128.75,-0.0935342945933152
290,300,129.375,-0.0938895096408538
290,300,130,-0.0942466047637871
290,300,130.625,-0.0946055876210045
290,300,131.25,-0.0949664670181176
290,300,131.875,-0.0953292529030351
290,300,132.5,-0.0956939563622499
290,300,133.125,-0.0960605896178031
290,300,133.75,-0.096429166024972
290,300,134.375,-0.0967997000706521
290,300,135,-0.0971722073724168
290,300,135.625,-0.0975467046782887
290,300,136.25,-0.0979232098672181
290,300,136.875,-0.0983017419502241
290,300,137.5,-0.0986823210722544
290,300,138.125,-0.0990649685147595
290,300,138.75,-0.0994497066989329
290,300,139.375,-0.0998365591896926
290,300,140,-0.100225550700352
290,300,140.625,-0.100616707098013
290,300,141.25,-0.101010055409687
290,300,141.875,-0.10140562382913
290,300,142.5,-0.101803441724425
290,300,143.125,-0.102203539646306
290,300,143.75,-0.102605949337214
290,300,144.375,-0.103010703741152
290,300,145,-0.103417837014267
290,300,145.625,-0.103827384536251
290,300,146.25,-0.104239382922515
290,300,146.875,-0.104653870037165
290,300,147.5,-0.105070885006816
290,300,148.125,-0.105490468235232
290,300,148.75,-0.105912661418804
290,300,149.375,-0.106337507562904
290,300,150,-0.106765050999121
290,300,150.625,-0.107195337403394
290,300,151.25,-0.107628413815059
290,300,151.875,-0.108064328656831
290,300,152.5,-0.108503131755779
290,300,153.125,-0.108944874365225
290,300,153.75,-0.109389609187693
290,300,154.375,-0.109837390398865
290,300,155,-0.110288273672606
290,300,155.625,-0.110742316207043
290,300,156.25,-0.111199576751782
290,300,156.875,-0.111660115636244
290,300,157.5,-0.112123994799173
290,300,158.125,-0.112591277819339
290,300,158.75,-0.113062029947492
290,300,159.375,-0.113536318139543
290,300,160,-0.114014211091111
290,300,160.625,-0.114495779273348
