"ResFreq [GHz]","ResFreq2 [GHz]","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
270,282.5,125,0.293822985463354,2.43976334855261
270,282.5,125.625,0.295162973569391,2.53136636675958
270,282.5,126.25,0.296508691731075,2.62274050479692
270,282.5,126.875,0.297860206304671,2.71389361691963
270,282.5,127.5,0.299217592591661,2.80483346545614
270,282.5,128.125,0.30058093461105,2.89556772462169
270,282.5,128.75,0.301950324888645,2.98610398425116
270,282.5,129.375,0.303325864262755,3.07644975345486
270,282.5,130,0.304707661705598,3.16661246420149
270,282.5,130.625,0.306095834159864,3.25659947483154
270,282.5,131.25,0.307490506389848,3.34641807350509
270,282.5,131.875,0.308891810846653,3.43607548158708
270,282.5,132.5,0.310299887547014,3.52557885697374
270,282.5,133.125,0.311714883965203,3.61493529736323
270,282.5,133.75,0.31313695493772,3.70415184347387
270,282.5,134.375,0.314566262580264,3.7932354822129
270,282.5,135,0.316002976216756,3.88219314979897
270,282.5,135.625,0.317447272319952,3.97103173484113
270,282.5,136.25,0.318899334463476,4.05975808137757
270,282.5,136.875,0.320359353284879,4.1483789918765
270,282.5,137.5,0.321827526459578,4.23690123020239
270,282.5,138.125,0.323304058685384,4.32533152455005
270,282.5,138.75,0.324789161677464,4.41367657034934
270,282.5,139.375,0.326283054173476,4.50194303314318
270,282.5,140,0.327785961948887,4.59013755144145
270,282.5,140.625,0.329298117842114,4.67826673955333
270,282.5,141.25,0.330819761789573,4.76633719040071
270,282.5,141.875,0.332351140870426,4.85435547831522
270,282.5,142.5,0.333892509361008,4.94232816182115
270,282.5,143.125,0.335444128798847,5.03026178640715
270,282.5,143.75,0.337006268056244,5.11816288728881
270,282.5,144.375,0.338579203423449,5.20603799216478
270,282.5,145,0.340163218701367,5.29389362396883
270,282.5,145.625,0.341758605303831,5.38173630362036
270,282.5,146.25,0.343365662369524,5.46957255277567
270,282.5,146.875,0.34498469688359,5.55740889658264
270,282.5,147.5,0.346616023808952,5.6452518664411
270,282.5,148.125,0.348259966227527,5.73310800277155
270,282.5,148.75,0.349916855491409,5.82098385779448
270,282.5,149.375,0.351587031384133,5.90888599832311
