"ResFreq [GHz]","ResFreq2 [GHz]","Freq [GHz]","dB(S(1,1)) []"
270,307.5,125,-0.102316752172801
270,307.5,125.625,-0.102837787696793
270,307.5,126.25,-0.103354176137293
270,307.5,126.875,-0.103866204554098
270,307.5,127.5,-0.104374154187069
270,307.5,128.125,-0.104878300605223
270,307.5,128.75,-0.105378913854356
270,307.5,129.375,-0.105876258603331
270,307.5,130,-0.106370594289121
270,307.5,130.625,-0.106862175260757
270,307.5,131.25,-0.107351250922237
270,307.5,131.875,-0.107838065874503
270,307.5,132.5,-0.10832286005656
270,307.5,133.125,-0.108805868885842
270,307.5,133.75,-0.10928732339789
270,307.5,134.375,-0.109767450385364
270,307.5,135,-0.11024647253655
270,307.5,135.625,-0.110724608573333
270,307.5,136.25,-0.111202073388736
270,307.5,136.875,-0.111679078184084
270,307.5,137.5,-0.112155830605818
270,307.5,138.125,-0.112632534882034
270,307.5,138.75,-0.113109391958797
270,307.5,139.375,-0.11358659963622
270,307.5,140,-0.114064352704459
270,307.5,140.625,-0.11454284307955
270,307.5,141.25,-0.115022259939203
270,307.5,141.875,-0.115502789858604
270,307.5,142.5,-0.115984616946191
270,307.5,143.125,-0.116467922979529
270,307.5,143.75,-0.116952887541298
270,307.5,144.375,-0.117439688155409
270,307.5,145,-0.117928500423341
270,307.5,145.625,-0.118419498160711
270,307.5,146.25,-0.118912853534127
270,307.5,146.875,-0.119408737198406
270,307.5,147.5,-0.119907318434169
270,307.5,148.125,-0.120408765285878
270,307.5,148.75,-0.120913244700383
270,307.5,149.375,-0.121420922666036
270,307.5,150,-0.121931964352426
270,307.5,150.625,-0.12244653425079
270,307.5,151.25,-0.122964796315201
270,307.5,151.875,-0.123486914104583
270,307.5,152.5,-0.124013050925623
270,307.5,153.125,-0.124543369976677
270,307.5,153.75,-0.125078034492743
270,307.5,154.375,-0.125617207891605
270,307.5,155,-0.126161053921222
270,307.5,155.625,-0.126709736808461
270,307.5,156.25,-0.127263421409312
270,307.5,156.875,-0.127822273360643
270,307.5,157.5,-0.128386459233647
270,307.5,158.125,-0.128956146689097
270,307.5,158.75,-0.129531504634512
270,307.5,159.375,-0.130112703383396
270,307.5,160,-0.130699914816674
270,307.5,160.625,-0.131293312546489
270,307.5,161.25,-0.131893072082474
270,307.5,161.875,-0.132499371000708
270,307.5,162.5,-0.133112389115511
270,307.5,163.125,-0.133732308654234
270,307.5,163.75,-0.134359314435244
270,307.5,164.375,-0.134993594049338
270,307.5,165,-0.135635338044706
270,307.5,165.625,-0.136284740115741
270,307.5,166.25,-0.136941997295882
270,307.5,166.875,-0.137607310154725
270,307.5,167.5,-0.138280882999653
270,307.5,168.125,-0.138962924082262
270,307.5,168.75,-0.139653645809818
270,307.5,169.375,-0.140353264962073
270,307.5,170,-0.141062002913701
270,307.5,170.625,-0.14178008586268
270,307.5,171.25,-0.142507745064958
270,307.5,171.875,-0.143245217075737
270,307.5,172.5,-0.143992743997722
270,307.5,173.125,-0.144750573736745
270,307.5,173.75,-0.145518960265124
270,307.5,174.375,-0.146298163893206
270,307.5,175,-0.1470884515495
270,307.5,175.625,-0.147890097069876
270,307.5,176.25,-0.148703381496321
270,307.5,176.875,-0.149528593385704
270,307.5,177.5,-0.150366029129177
270,307.5,178.125,-0.151215993282652
270,307.5,178.75,-0.152078798909031
270,307.5,179.375,-0.152954767932778
270,307.5,180,-0.153844231507446
270,307.5,180.625,-0.154747530396893
270,307.5,181.25,-0.155665015370871
270,307.5,181.875,-0.156597047615751
270,307.5,182.5,-0.157543999161184
270,307.5,183.125,-0.158506253323519
270,307.5,183.75,-0.159484205166881
270,307.5,184.375,-0.160478261982825
270,307.5,185,-0.161488843789562
270,307.5,185.625,-0.162516383851743
270,307.5,186.25,-0.16356132922197
270,307.5,186.875,-0.164624141305133
270,307.5,187.5,-0.165705296446764
270,307.5,188.125,-0.166805286546787
270,307.5,188.75,-0.167924619699921
