"ResFreq [GHz]","ResFreq2 [GHz]","Freq [GHz]","dB(S(1,1)) []"
280,285,195,-0.166634308998628
280,285,195.625,-0.167697452523562
280,285,196.25,-0.168778135516318
280,285,196.875,-0.169876840258034
280,285,197.5,-0.170994064475554
280,285,198.125,-0.172130321934054
280,285,198.75,-0.173286143056533
280,285,199.375,-0.174462075571518
280,285,200,-0.175658685190427
280,285,200.625,-0.176876556316107
280,285,201.25,-0.178116292784179
280,285,201.875,-0.17937851863886
280,285,202.5,-0.180663878945119
280,285,203.125,-0.181973040639027
280,285,203.75,-0.183306693418382
280,285,204.375,-0.184665550675689
280,285,205,-0.186050350475848
280,285,205.625,-0.187461856580911
280,285,206.25,-0.188900859524465
280,285,206.875,-0.190368177738405
280,285,207.5,-0.191864658734918
280,285,208.125,-0.193391180346792
280,285,208.75,-0.194948652029261
280,285,209.375,-0.196538016226857
280,285,210,-0.198160249808939
280,285,210.625,-0.199816365577796
280,285,211.25,-0.201507413853476
280,285,211.875,-0.20323448413974
280,285,212.5,-0.204998706875877
280,285,213.125,-0.206801255279333
280,285,213.75,-0.208643347284519
280,285,214.375,-0.210526247583464
280,285,215,-0.212451269774342
280,285,215.625,-0.214419778624353
280,285,216.25,-0.216433192453831
280,285,216.875,-0.218492985648891
280,285,217.5,-0.220600691310496
280,285,218.125,-0.222757904048285
280,285,218.75,-0.224966282928091
280,285,219.375,-0.227227554582738
280,285,220,-0.229543516496291
280,285,220.625,-0.231916040472712
280,285,221.25,-0.234347076300579
280,285,221.875,-0.236838655626407
280,285,222.5,-0.239392896049929
280,285,223.125,-0.242012005455733
280,285,223.75,-0.244698286596575
280,285,224.375,-0.247454141944872
280,285,225,-0.250282078830073
280,285,225.625,-0.253184714880846
280,285,226.25,-0.256164783792426
280,285,226.875,-0.259225141441027
280,285,227.5,-0.262368772368731
280,285,228.125,-0.26559879666415
280,285,228.75,-0.268918477265931
280,285,229.375,-0.272331227718283
280,285,230,-0.275840620409944
280,285,230.625,-0.279450395330305
280,285,231.25,-0.283164469379085
280,285,231.875,-0.286986946268719
280,285,232.5,-0.290922127061679
280,285,233.125,-0.294974521388163
280,285,233.75,-0.299148859393248
280,285,234.375,-0.303450104466408
280,285,235,-0.307883466810426
280,285,235.625,-0.312454417911365
280,285,236.25,-0.317168705976085
280,285,236.875,-0.322032372409148
280,285,237.5,-0.327051769406711
280,285,238.125,-0.332233578751226
280,285,238.75,-0.337584831897652
280,285,239.375,-0.343112931449035
280,285,240,-0.348825674127466
280,285,240.625,-0.35473127535493
280,285,241.25,-0.360838395567877
280,285,241.875,-0.367156168399588
280,285,242.5,-0.373694230875136
280,285,243.125,-0.380462755775772
280,285,243.75,-0.387472486342182
280,285,244.375,-0.394734773499924
280,285,245,-0.402261615805219
280,285,245.625,-0.410065702325248
280,285,246.25,-0.418160458684307
280,285,246.875,-0.426560096525729
280,285,247.5,-0.435279666659096
280,285,248.125,-0.444335116183579
280,285,248.75,-0.45374334990047
280,285,249.375,-0.463522296352124
280,285,250,-0.473690978849352
280,285,250.625,-0.484269591876024
280,285,251.25,-0.495279583286993
280,285,251.875,-0.506743742744071
280,285,252.5,-0.518686296863884
280,285,253.125,-0.531133011580955
280,285,253.75,-0.544111302258437
280,285,254.375,-0.557650352107349
280,285,255,-0.571781239501321
280,285,255.625,-0.586537074797367
280,285,256.25,-0.601953147291656
280,285,256.875,-0.618067082951447
280,285,257.5,-0.63491901356701
280,285,258.125,-0.652551757958086
280,285,258.75,-0.671011015843189
280,285,259.375,-0.690345574932842
280,285,260,-0.71060753173231
280,285,260.625,-0.731852526428297
280,285,261.25,-0.754139992077167
280,285,261.875,-0.777533418097337
280,285,262.5,-0.802100627780569
280,285,263.125,-0.8279140691569
280,285,263.75,-0.855051118053243
280,285,264.375,-0.88359439154773
280,285,265,-0.913632069206241
280,285,265.625,-0.945258218452079
280,285,266.25,-0.978573119113452
280,285,266.875,-1.01368358055463
280,285,267.5,-1.05070324275109
280,285,268.125,-1.08975285012846
280,285,268.75,-1.13096048384539
280,285,269.375,-1.17446173433775
280,285,270,-1.2203997912161
280,285,270.625,-1.26892542185597
280,285,271.25,-1.32019680306368
280,285,271.875,-1.37437916184121
280,285,272.5,-1.43164417131305
280,285,273.125,-1.49216903611722
280,285,273.75,-1.55613518783891
280,285,274.375,-1.62372649527633
280,285,275,-1.69512687649571
280,285,275.625,-1.77051717997636
280,285,276.25,-1.85007118120236
280,285,276.875,-1.93395051983365
280,285,277.5,-2.02229838278668
280,285,278.125,-2.11523172284124
280,285,278.75,-2.2128317947667
280,285,279.375,-2.31513279716948
280,285,280,-2.42210843625714
280,285,280.625,-2.53365628805911
280,285,281.25,-2.64957994176342
280,285,281.875,-2.7695690747745
280,285,282.5,-2.89317785748912
280,285,283.125,-3.01980242928823
280,285,283.75,-3.14865863784878
280,285,284.375,-3.27876178925719
280,285,285,-3.40891078984962
280,285,285.625,-3.53767970738148
280,285,286.25,-3.66342032232171
280,285,286.875,-3.78427950347956
280,285,287.5,-3.89823499818129
280,285,288.125,-4.00315223340761
280,285,288.75,-4.09686279759029
280,285,289.375,-4.17726239761325
280,285,290,-4.24242252830489
280,285,290.625,-4.29070646413538
280,285,291.25,-4.320877384554
280,285,291.875,-4.33218544079663
280,285,292.5,-4.32442204329348
280,285,293.125,-4.29793364582383
280,285,293.75,-4.25359309610706
280,285,294.375,-4.19273287246182
280,285,295,-4.11704973210272
280,285,295.625,-4.02849332554118
280,285,296.25,-3.92915177003225
280,285,296.875,-3.82114536158853
280,285,297.5,-3.70653637918957
280,285,298.125,-3.58725926863308
280,285,298.75,-3.46507218343297
280,285,299.375,-3.34152837377147
280,285,300,-3.21796439033573
280,285,300.625,-3.0955014101392
280,285,301.25,-2.97505597879338
280,285,301.875,-2.85735685687842
280,285,302.5,-2.74296524968533
280,285,303.125,-2.6322963394482
280,285,303.75,-2.52564063437928
280,285,304.375,-2.42318415264968
280,285,305,-2.32502685713669
280,285,305.625,-2.23119905266022
280,285,306.25,-2.14167566552483
280,285,306.875,-2.05638846273347
280,285,307.5,-1.9752363521496
280,285,308.125,-1.89809394990712
280,285,308.75,-1.82481861947114
280,285,309.375,-1.75525618715065
280,285,310,-1.68924552834801
280,285,310.625,-1.62662220222137
280,285,311.25,-1.56722129302556
280,285,311.875,-1.51087959633952
280,285,312.5,-1.45743726901624
280,285,313.125,-1.40673904376924
280,285,313.75,-1.35863509320952
280,285,314.375,-1.31298161399596
280,285,315,-1.26964118952474
280,285,315.625,-1.22848297913745
280,285,316.25,-1.18938277300287
280,285,316.875,-1.15222294443536
280,285,317.5,-1.11689232526557
280,285,318.125,-1.08328602479868
280,285,318.75,-1.05130520871921
280,285,319.375,-1.02085685088556
280,285,320,-0.991853468175867
280,285,320.625,-0.964212846292192
280,285,321.25,-0.937857762609747
280,285,321.875,-0.912715710694793
280,285,322.5,-0.888718629944442
280,285,323.125,-0.865802642869584
280,285,323.75,-0.843907801804202
280,285,324.375,-0.822977846243496
280,285,325,-0.802959971559474
280,285,325.625,-0.783804609491173
280,285,326.25,-0.765465220537257
280,285,326.875,-0.747898098175034
280,285,327.5,-0.731062184678461
280,285,328.125,-0.714918898197996
280,285,328.75,-0.699431970687804
280,285,329.375,-0.684567296214733
280,285,330,-0.670292789151897
280,285,330.625,-0.656578251744038
280,285,331.25,-0.643395250527965
280,285,331.875,-0.630717001096216
280,285,332.5,-0.618518260704066
280,285,333.125,-0.606775228236444
280,285,333.75,-0.595465451071372
280,285,334.375,-0.584567738399007
280,285,335,-0.574062080579104
280,285,335.625,-0.563929574144373
280,285,336.25,-0.554152352082207
280,285,336.875,-0.544713519052056
280,285,337.5,-0.535597091220456
280,285,338.125,-0.526787940419546
280,285,338.75,-0.518271742358613
280,285,339.375,-0.510034928640687
280,285,340,-0.502064642358297
280,285,340.625,-0.494348697063763
280,285,341.25,-0.48687553892963
280,285,341.875,-0.479634211934832
280,285,342.5,-0.4726143259309
280,285,343.125,-0.465806027460871
280,285,343.75,-0.459199973220971
280,285,344.375,-0.452787306071957
280,285,345,-0.446559633522728
280,285,345.625,-0.440509008623879
280,285,346.25,-0.434627913222727
280,285,346.875,-0.428909243543743
280,285,347.5,-0.423346298069511
280,285,348.125,-0.417932767705996
280,285,348.75,-0.412662728222622
280,285,349.375,-0.407530634960704
280,285,350,-0.402531319803263
280,285,350.625,-0.397659990393671
280,285,351.25,-0.392912231578869
280,285,351.875,-0.388284009033895
280,285,352.5,-0.383771674996549
280,285,353.125,-0.379371976002197
280,285,353.75,-0.375082062457822
280,285,354.375,-0.370899499828636
280,285,355,-0.366822281129082
280,285,355.625,-0.362848840310326
280,285,356.25,-0.358978066017972
280,285,356.875,-0.355209315056182
280,285,357.5,-0.351542424738445
280,285,358.125,-0.347977723133988
280,285,358.75,-0.344516036036872
280,285,359.375,-0.341158689300263
280,285,360,-0.337907505002805
280,285,360.625,-0.334764789762489
280,285,361.25,-0.331733313406296
280,285,361.875,-0.32881627616431
280,285,362.5,-0.326017262612923
280,285,363.125,-0.323340180771494
280,285,363.75,-0.320789185088973
280,285,364.375,-0.318368582564923
280,285,365,-0.316082721947749
280,285,365.625,-0.313935866841618
280,285,366.25,-0.311932054612404
280,285,366.875,-0.310074944167357
280,285,367.5,-0.308367656921088
280,285,368.125,-0.306812616452765
280,285,368.75,-0.305411393386713
280,285,369.375,-0.304164562758976
280,285,370,-0.303071581439012
280,285,370.625,-0.302130692953905
280,285,371.25,-0.301338866249841
280,285,371.875,-0.300691773518992
280,285,372.5,-0.300183810284917
280,285,373.125,-0.299808158611954
280,285,373.75,-0.299556891777592
280,285,374.375,-0.299421116252073
280,285,375,-0.299391144603918
