"ResFreq [GHz]","ResFreq2 [GHz]","Freq [GHz]","ang_deg(Z(1,1)) []","mag(Z(1,1)) []"
270,307.5,177.5,1.5258754901725,10.0228801081987
270,307.5,178.125,1.52602230920313,10.1201555661696
270,307.5,178.75,1.52616354224937,10.2178484545467
270,307.5,179.375,1.52629926297849,10.3159704517098
270,307.5,180,1.52642954042671,10.4145334788787
270,307.5,180.625,1.52655443911736,10.513549708901
270,307.5,181.25,1.52667401917017,10.6130315753633
270,307.5,181.875,1.52678833640163,10.7129917820398
270,307.5,182.5,1.52689744241717,10.8134433126952
270,307.5,183.125,1.52700138469522,10.9143994412579
270,307.5,183.75,1.52710020666357,11.0158737423816
270,307.5,184.375,1.52719394776832,11.1178801024124
270,307.5,185,1.52728264353551,11.2204327307832
270,307.5,185.625,1.52736632562582,11.3235461718538
270,307.5,186.25,1.52744502188247,11.4272353172192
270,307.5,186.875,1.52751875637237,11.5315154185089
270,307.5,187.5,1.52758754942089,11.6364021007016
270,307.5,188.125,1.52765141764014,11.7419113759794
270,307.5,188.75,1.52771037395102,11.8480596581504
270,307.5,189.375,1.52776442759906,11.9548637776661
270,307.5,190,1.52781358416409,12.0623409972647
270,307.5,190.625,1.5278578455638,12.1705090282714
270,307.5,191.25,1.52789721005129,12.2793860475899
270,307.5,191.875,1.52793167220641,12.3889907154195
270,307.5,192.5,1.52796122292114,12.4993421937359
270,307.5,193.125,1.52798584937873,12.6104601655758
270,307.5,193.75,1.52800553502669,12.7223648551664
270,307.5,194.375,1.52802025954354,12.8350770489451
270,307.5,195,1.52802999879918,12.9486181175165
270,307.5,195.625,1.52803472480879,13.0630100385965
270,307.5,196.25,1.52803440568011,13.1782754209968
270,307.5,196.875,1.52802900555404,13.2944375297068
270,307.5,197.5,1.52801848453823,13.4115203121324
270,307.5,198.125,1.52800279863356,13.5295484255546
270,307.5,198.75,1.5279818996533,13.6485472658776
270,307.5,199.375,1.52795573513467,13.7685429977361
270,307.5,200,1.52792424824247,13.8895625860406
270,307.5,200.625,1.52788737766465,14.0116338290408
270,307.5,201.25,1.52784505749933,14.1347853929941
270,307.5,201.875,1.52779721713298,14.259046848533
270,307.5,202.5,1.52774378110936,14.3844487088283
270,307.5,203.125,1.52768466898888,14.5110224696554
270,307.5,203.75,1.52761979519776,14.6388006514741
270,307.5,204.375,1.52754906886667,14.7678168436438
270,307.5,205,1.52747239365817,14.8981057509004
270,307.5,205.625,1.52738966758253,15.029703242234
270,307.5,206.25,1.52730078280111,15.1626464023128
270,307.5,206.875,1.52720562541684,15.2969735856094
270,307.5,207.5,1.5271040752509,15.4327244733999
