"ResFreq [GHz]","ResFreq2 [GHz]","Freq [GHz]","dB(S(1,1)) []"
300,290,125,-0.0923475228174481
300,290,125.625,-0.0926685049686428
300,290,126.25,-0.0929912834135383
300,290,126.875,-0.0933158678171621
300,290,127.5,-0.0936422681795485
300,290,128.125,-0.0939704948428775
300,290,128.75,-0.0943005584987502
300,290,129.375,-0.0946324701957247
300,290,130,-0.0949662413469798
300,290,130.625,-0.0953018837382043
300,290,131.25,-0.0956394095356948
300,290,131.875,-0.0959788312946534
300,290,132.5,-0.0963201619676896
300,290,133.125,-0.0966634149135499
300,290,133.75,-0.0970086039060748
300,290,134.375,-0.0973557431433779
300,290,135,-0.0977048472572495
300,290,135.625,-0.0980559313228251
300,290,136.25,-0.0984090108684828
300,290,136.875,-0.0987641018859982
300,290,137.5,-0.0991212208409595
300,290,138.125,-0.099480384683454
300,290,138.75,-0.0998416108590232
300,290,139.375,-0.100204917319909
300,290,140,-0.10057032253656
300,290,140.625,-0.10093784550949
300,290,141.25,-0.101307505781382
300,290,141.875,-0.101679323449542
300,290,142.5,-0.10205331917867
300,290,143.125,-0.10242951421395
300,290,143.75,-0.102807930394495
300,290,144.375,-0.10318859016714
300,290,145,-0.103571516600582
300,290,145.625,-0.103956733399907
300,290,146.25,-0.104344264921496
300,290,146.875,-0.104734136188316
300,290,147.5,-0.105126372905615
300,290,148.125,-0.105521001477051
300,290,148.75,-0.10591804902121
300,290,149.375,-0.106317543388618
300,290,150,-0.106719513179151
300,290,150.625,-0.107123987759959
300,290,151.25,-0.10753099728384
300,290,151.875,-0.107940572708125
300,290,152.5,-0.108352745814062
300,290,153.125,-0.108767549226745
300,290,153.75,-0.109185016435561
300,290,154.375,-0.109605181815216
300,290,155,-0.110028080647325
300,290,155.625,-0.110453749142598
300,290,156.25,-0.110882224463644
300,290,156.875,-0.111313544748402
300,290,157.5,-0.111747749134211
300,290,158.125,-0.112184877782584
300,290,158.75,-0.11262497190463
300,290,159.375,-0.113068073787234
300,290,160,-0.113514226819946
300,290,160.625,-0.113963475522633
300,290,161.25,-0.114415865573948
300,290,161.875,-0.114871443840547
300,290,162.5,-0.11533025840722
300,290,163.125,-0.115792358607818
300,290,163.75,-0.116257795057123
300,290,164.375,-0.116726619683603
300,290,165,-0.117198885763146
300,290,165.625,-0.117674647953764
300,290,166.25,-0.118153962331311
300,290,166.875,-0.11863688642627
300,290,167.5,-0.1191234792616
300,290,168.125,-0.119613801391724
300,290,168.75,-0.120107914942666
300,290,169.375,-0.120605883653409
300,290,170,-0.121107772918454
300,290,170.625,-0.121613649831701
300,290,171.25,-0.122123583231639
300,290,171.875,-0.122637643747903
300,290,172.5,-0.123155903849277
300,290,173.125,-0.123678437893127
300,290,173.75,-0.124205322176402
300,290,174.375,-0.124736634988165
300,290,175,-0.125272456663797
300,290,175.625,-0.125812869640846
300,290,176.25,-0.126357958516667
300,290,176.875,-0.126907810107834
300,290,177.5,-0.127462513511464
300,290,178.125,-0.128022160168454
300,290,178.75,-0.128586843928749
300,290,179.375,-0.129156661118692
300,290,180,-0.129731710610541
300,290,180.625,-0.130312093894222
300,290,181.25,-0.130897915151419
300,290,181.875,-0.131489281332057
300,290,182.5,-0.132086302233305
300,290,183.125,-0.132689090581166
300,290,183.75,-0.133297762114754
300,290,184.375,-0.133912435673375
300,290,185,-0.134533233286506
300,290,185.625,-0.135160280266759
300,290,186.25,-0.13579370530601
300,290,186.875,-0.136433640574748
300,290,187.5,-0.137080221824787
300,290,188.125,-0.137733588495494
300,290,188.75,-0.138393883823656
300,290,189.375,-0.139061254957092
300,290,190,-0.139735853072243
300,290,190.625,-0.140417833495794
300,290,191.25,-0.141107355830567
300,290,191.875,-0.141804584085828
300,290,192.5,-0.142509686812156
300,290,193.125,-0.143222837241115
300,290,193.75,-0.143944213429874
300,290,194.375,-0.144673998410994
300,290,195,-0.145412380347611
300,290,195.625,-0.146159552694185
300,290,196.25,-0.146915714363099
300,290,196.875,-0.147681069897333
300,290,197.5,-0.14845582964943
300,290,198.125,-0.149240209967081
300,290,198.75,-0.150034433385553
300,290,199.375,-0.150838728827256
300,290,200,-0.1516533318088
300,290,200.625,-0.152478484655782
300,290,201.25,-0.153314436725708
300,290,201.875,-0.154161444639345
300,290,202.5,-0.1550197725209
300,290,203.125,-0.1558896922474
300,290,203.75,-0.156771483707669
300,290,204.375,-0.157665435071335
300,290,205,-0.158571843068284
300,290,205.625,-0.159491013279061
300,290,206.25,-0.160423260436681
300,290,206.875,-0.161368908740356
300,290,207.5,-0.162328292181692
300,290,208.125,-0.163301754883924
300,290,208.75,-0.164289651454736
300,290,209.375,-0.165292347353356
300,290,210,-0.16631021927253
300,290,210.625,-0.167343655536068
300,290,211.25,-0.168393056512723
300,290,211.875,-0.169458835047113
300,290,212.5,-0.170541416908507
300,290,213.125,-0.171641241258352
300,290,213.75,-0.172758761137356
300,290,214.375,-0.173894443973133
300,290,215,-0.175048772109345
300,290,215.625,-0.176222243357402
300,290,216.25,-0.177415371571805
300,290,216.875,-0.178628687250285
300,290,217.5,-0.179862738159944
300,290,218.125,-0.181118089990696
