"Freq [GHz]","ang_deg(Z(1,1)) [] - ResFreq='280GHz' ResFreq2='285GHz'","mag(Z(1,1)) [] - ResFreq='330GHz' ResFreq2='322.5GHz'","mag(Z(1,1)) [] - ResFreq='320GHz' ResFreq2='322.5GHz'","mag(Z(1,1)) [] - ResFreq='310GHz' ResFreq2='322.5GHz'","mag(Z(1,1)) [] - ResFreq='300GHz' ResFreq2='322.5GHz'","mag(Z(1,1)) [] - ResFreq='290GHz' ResFreq2='322.5GHz'","mag(Z(1,1)) [] - ResFreq='280GHz' ResFreq2='322.5GHz'","mag(Z(1,1)) [] - ResFreq='270GHz' ResFreq2='322.5GHz'","mag(Z(1,1)) [] - ResFreq='330GHz' ResFreq2='300GHz'","mag(Z(1,1)) [] - ResFreq='320GHz' ResFreq2='300GHz'","mag(Z(1,1)) [] - ResFreq='310GHz' ResFreq2='300GHz'","mag(Z(1,1)) [] - ResFreq='300GHz' ResFreq2='300GHz'","mag(Z(1,1)) [] - ResFreq='290GHz' ResFreq2='300GHz'","mag(Z(1,1)) [] - ResFreq='280GHz' ResFreq2='300GHz'","mag(Z(1,1)) [] - ResFreq='270GHz' ResFreq2='300GHz'","mag(Z(1,1)) [] - ResFreq='330GHz' ResFreq2='282.5GHz'","mag(Z(1,1)) [] - ResFreq='320GHz' ResFreq2='282.5GHz'","mag(Z(1,1)) [] - ResFreq='310GHz' ResFreq2='282.5GHz'","mag(Z(1,1)) [] - ResFreq='300GHz' ResFreq2='282.5GHz'","mag(Z(1,1)) [] - ResFreq='290GHz' ResFreq2='282.5GHz'","mag(Z(1,1)) [] - ResFreq='280GHz' ResFreq2='282.5GHz'","mag(Z(1,1)) [] - ResFreq='270GHz' ResFreq2='282.5GHz'","mag(Z(1,1)) [] - ResFreq='290GHz' ResFreq2='285GHz'","mag(Z(1,1)) [] - ResFreq='285GHz' ResFreq2='285GHz'","mag(Z(1,1)) [] - ResFreq='280GHz' ResFreq2='285GHz'","mag(Z(1,1)) [] - ResFreq='275GHz' ResFreq2='285GHz'"
125,1.4026549759978,1.99231576554651,1.36782941845257,0.687488233338243,0.287556541896333,0.848921554322324,1.70909010449825,2.49469899714366,1.99324384550714,1.24319527372607,0.577072313202767,0.287933677607943,0.639299267706277,1.67134493460973,2.34385543370681,1.87796654667649,1.19630978131705,0.663504809515749,0.262672247360475,0.652645043794026,1.67826744043974,2.45739234631494,0.712499656795407,1.12242184410891,1.71782674329552,2.06952690946605
125.625,1.41060723942682,1.89516465415154,1.27403411834946,0.601885597877285,0.262055771412163,0.937286735073291,1.79995783682795,2.58542931600947,1.89519595058947,1.14853712641763,0.49535533282875,0.263350371333653,0.723739673783972,1.76201507237082,2.43336522364294,1.77943872813882,1.10149819806026,0.577831335945765,0.273186585929947,0.73749523219117,1.76949686039523,2.54851660063809,0.798748330634569,1.21166147028644,1.80918314547622,2.16072159020344
126.25,1.41776627131752,1.79856723863433,1.18096305091969,0.519792915308972,0.267840827519014,1.02608932754302,1.89067623154894,2.67599045864025,1.79770925446889,1.05476470614665,0.419777992534829,0.269845411229123,0.809361912686182,1.85254089531016,2.52271276817104,1.68150898058765,1.00763805569028,0.495973768260077,0.312175097059505,0.823471146455261,1.86055943685699,2.63944788919473,0.885793758997892,1.30095313661142,1.90037423370278,2.2517230321043
126.875,1.42424391178684,1.70253216699556,1.08868597196363,0.44291165351761,0.302812355055793,1.11515739160714,1.98123765184031,2.76638598359876,1.70079242024242,0.962002790909898,0.353979386458178,0.305138569359222,0.895741881303684,1.94291335658753,2.61190123217354,1.58419212862036,0.914880924065256,0.419899200887768,0.370511089184647,0.91016638638945,1.95144674995439,2.73019033520687,0.973345135874575,1.39023638932182,1.99139226978258,2.34253183282541
127.5,1.43013204025486,1.60707208028296,0.997300317847614,0.374174887593837,0.358272939052534,1.20437192738983,2.07163703245252,2.85661985330775,1.60445816976428,0.870430372363521,0.30401671429316,0.360628471436701,0.982604933949038,2.03312628962454,2.70093425647196,1.48750898311579,0.82344713465751,0.35305233963069,0.440371640214121,0.997316560959495,2.04215326416993,2.82074847100181,1.06120919878634,1.47946730709985,2.0822321861865,2.43314961222594
128.125,1.43550681586974,1.51220475985869,0.906944260134118,0.318562673295996,0.426091340911553,1.29364881560855,2.16187131410553,2.94669636187101,1.50872446381025,0.780310168056099,0.278172851549885,0.428337518625678,1.06976726792488,2.12317576667726,2.78981587098891,1.39148825711217,0.733665367191579,0.301279542496432,0.516939217169937,1.08474408213864,2.13267567999762,2.91112716076136,1.14925379008955,1.56861375053964,2.17289099631782,2.52357880799629
128.75,1.44043188599102,1.41795470908109,0.817817693607641,0.28353566087959,0.501105698760177,1.38292759695032,2.2519390173607,3.03662007672265,1.41361613475245,0.692038706031314,0.282775591689151,0.503192026262143,1.15710246678905,2.21305961778457,2.87855042507457,1.29616928175752,0.646041332971267,0.272909592539283,0.597501413639809,1.17232646516854,2.22301244839336,3.00133153841108,1.23738640981034,1.65765214331032,2.26336735045147,2.61382251578924
129.375,1.44496084300285,1.32435537076553,0.730217124650918,0.276658442543284,0.580390592000021,1.47216427659236,2.34183991771682,3.12639579121594,1.31916718438755,0.606234404530241,0.316191114258437,0.582304385668742,1.24452162638265,2.30277706550735,2.96714253128152,1.20160593345816,0.561381230171826,0.274913197800762,0.680522436200559,1.25997739792816,2.31316340260175,3.09136695742567,1.32554110896884,1.74656524203574,2.35366119733728,2.70388436312233
130,1.4491391263541,1.23145229424775,0.644595770512378,0.299554444524823,0.662293726241265,1.56132657790632,2.43157479517893,3.21602848593077,1.22542408010337,0.523897575602501,0.370453158905418,0.664036953415385,1.33196111254496,2.39232844445135,3.05559701976104,1.10787243863684,0.481019862618531,0.306380335287272,0.765100324954852,1.34763502498673,2.40312947582044,3.18123895008506,1.4136702059013,1.83534056000971,2.44377352350278,2.79376840917017
130.625,1.45300551013412,1.13930775277952,0.561670852370872,0.346101002172695,0.745849804204823,1.65039073189979,2.52114523930972,3.30552329697704,1.13245058422448,0.446706382907556,0.437670191697749,0.747429710732571,1.41937477018924,2.48171498367648,3.14391890111119,1.01507216597823,0.407242410655078,0.359398568893347,0.850682285079688,1.43525446086376,2.49291248245922,3.27095319427886,1.50173889162969,1.92396923284208,2.53370615041433,2.88347906459242
131.25,1.45659327749681,1.04800763090885,0.482620947458845,0.408067979192109,0.830470554653548,1.73933925606772,2.61055349609656,3.39488548994886,1.04033499801178,0.377549649162095,0.512599821406269,0.831895975515402,1.5067288189847,2.57093863630916,3.23211333599719,0.923351309420515,0.344001983303774,0.42578305344697,0.936915617897904,1.52280286717661,2.58251494708266,3.36051548638024,1.58972162176968,2.01244518878159,2.62346157522482,2.97302102700341
131.875,1.45993115599118,0.957671961186012,0.409451929287092,0.479332713476534,0.915782619254646,1.82815938643374,2.69980234667282,3.48412043847018,0.949201315203802,0.321334879550835,0.59217745670306,0.917062544404586,1.5939984214049,2.6600019449774,3.32018561023424,0.832920828409755,0.297739669347349,0.500064996550758,1.02356721167716,1.61025613207501,2.6719399695034,3.4499317190304,1.67759964527916,2.1007645329044,2.7130428447099,3.06239922875311
132.5,1.46304406855538,0.868471501076382,0.345636295102697,0.556182487651944,1.00154037999142,1.91684195043056,2.78889501054703,3.57323360649321,0.859226899136329,0.285457044697014,0.674637585608076,1.00268342105154,1.68116532117697,2.74890793471045,3.40814111430377,0.744092792091464,0.276736172164435,0.579067191049971,1.11047830759621,1.69759657883231,2.76119111756504,3.5392078629196,1.76535927548373,2.18892508390793,2.80245345472817,3.15161879447249
133.125,1.46595374109416,0.780654624083453,0.296944503021183,0.636470159802843,1.08757723465743,2.00538054330505,2.87783506786214,3.66223053368048,0.770671403278204,0.27756171964731,0.758935542411653,1.08859145506946,1.76821618423878,2.83766002709505,3.49598532648884,0.657342690070143,0.28626410434527,0.660975233184014,1.19753805296942,1.78481135199993,2.85027234133592,3.62834995183871,1.85299065713035,2.27692602144384,2.89169726949255,3.24068500641845
133.75,1.46867919752468,0.694592401393163,0.27129990809538,0.71893575784128,1.17377725589393,2.09377091733115,2.96662639655924,3.75111682333407,0.683925731630463,0.29955651734285,0.844429191506532,1.17467014649736,1.85514141130773,2.92626197102932,3.58372379898053,0.573419935092747,0.323349840609147,0.744724342581443,1.28466745257129,1.87189125971034,2.93918790400623,3.71736407042121,1.94048687193314,2.36476761462984,2.98077845635187,3.32960327609065
134.375,1.47123716582017,0.610856770901341,0.274901325405688,0.802813908627912,1.26005807584715,2.18201052271382,3.05527312130797,3.83989813243897,0.59959788320276,0.345522463004306,0.930708438770324,1.26083658561558,1.94193427360434,3.01471778654297,3.67136214643587,0.49354915170424,0.379770964234783,0.829664597118496,1.37180929522176,1.95882992933294,3.02794232592319,3.80625634410935,2.02784327953863,2.4524510109381,3.06970143281276,3.4183791209236
135,1.47364241313417,0.530360300093408,0.306441153638612,0.887621651314937,1.34636019040423,2.27009815826679,3.14377957179677,3.92858016346961,0.518668319009077,0.40721029381048,1.01750215569854,1.34703077469407,2.02859027416009,3.10303171898358,3.75890603656916,0.419797879944003,0.448089654987761,0.915383344689778,1.4589216362721,2.04562318237391,3.11654033904033,3.89503293096783,2.11505702507731,2.53997807051675,3.15847082329468,3.50701814510975
135.625,1.47590802401695,0.454610523491484,0.358390919179099,0.973043175810583,1.43264006645559,2.35803370263804,3.23215024852062,4.01716865767337,0.442776051376359,0.478401001536567,1.10462562573122,1.43320873734468,2.11510666928584,3.19120820148568,3.84636118243754,0.35570315953085,0.52350752538904,1.00160909054362,1.5459734648663,2.13226856535957,3.2049868496807,3.98370001503863,2.20212666646713,2.627351235071,3.24709142367851,3.595526023804
136.25,1.47804563266521,0.386162645934996,0.423111748240669,1.05886538502059,1.51886557606032,2.44581790539666,3.32038979461428,4.10566938959668,0.374731049906073,0.555304358803972,1.19194976016447,1.51933794888149,2.20148210552274,3.27925182410317,3.93373333614499,0.307043799442762,0.603231734600308,1.08815763059946,1.63294175290985,2.21876499340361,3.29328690798288,4.07226380098733,2.28905188905324,2.71457342329741,3.33556817213723,3.68390849011042
136.875,1.48006561781103,0.329316930554913,0.495468348354603,1.14494057241963,1.60501289663386,2.5334522231332,3.40850297259068,4.19408816266087,0.319288105994869,0.63572543693435,1.27938241333299,1.60539423088877,2.28771634104846,3.3671673083362,4.02102828373911,0.281586843936681,0.685645534668375,1.17490069500902,1.71980940097272,2.305112476326,3.38144568275214,4.16073050983591,2.37583328479229,2.80164794691104,3.42390612506189,3.77217132436957
137.5,1.48197726706596,0.290646208159401,0.572441384339248,1.23116402050726,1.69106435953122,2.62093868977877,3.49649464508249,4.28243080562862,0.283602812397161,0.718376342779112,1.36685666257115,1.69135959406682,2.37381002965713,3.45495948605149,4.10825184111506,0.285277952445337,0.769785169063864,1.26174701595509,1.80656378032787,2.39131190603226,3.46946844071016,4.2491063756133,2.46247217972324,2.88857844278189,3.51211043714423,3.86032034535734
