"ResFreq [GHz]","ResFreq2 [GHz]","Freq [GHz]","ang_deg(Z(1,1)) []","mag(Z(1,1)) []"
290,300,194.375,1.52707483752506,10.2083557784065
290,300,195,1.52719060073851,10.3028102945036
290,300,195.625,1.52730157816148,10.3976818833815
290,300,196.25,1.52740781862254,10.4929811933493
290,300,196.875,1.52750936734793,10.5887190933973
290,300,197.5,1.52760626604257,10.6849066806002
290,300,198.125,1.5276985529646,10.7815552877843
290,300,198.75,1.52778626299357,10.878676491471
290,300,199.375,1.52786942769263,10.9762821201087
290,300,200,1.52794807536475,11.0743842626062
290,300,200.625,1.52802223110342,11.1729952771803
290,300,201.25,1.52809191683773,11.2721278005334
290,300,201.875,1.52815715137214,11.371794757375
290,300,202.5,1.52821795042108,11.4720093703027
290,300,203.125,1.52827432663839,11.5727851700601
290,300,203.75,1.5283262896418,11.6741360061887
290,300,204.375,1.52837384603256,11.776076058092
290,300,205,1.52841699941016,11.8786198465311
290,300,205.625,1.52845575038234,11.9817822455729
290,300,206.25,1.52849009657034,12.0855784950109
290,300,206.875,1.52852003260953,12.1900242132833
290,300,207.5,1.52854555014529,12.2951354109097
290,300,208.125,1.52856663782426,12.4009285044744
290,300,208.75,1.52858328128096,12.5074203311805
290,300,209.375,1.52859546311964,12.6146281640035
290,300,210,1.52860316289146,12.7225697274753
290,300,210.625,1.52860635706692,12.8312632141277
290,300,211.25,1.52860501900333,12.9407273016296
290,300,211.875,1.52859911890758,13.0509811706538
290,300,212.5,1.5285886237937,13.1620445235075
290,300,213.125,1.52857349743549,13.2739376035691
290,300,213.75,1.52855370031385,13.3866812155692
290,300,214.375,1.52852918955876,13.5002967467625
290,300,215,1.52849991888584,13.6148061890351
290,300,215.625,1.52846583852719,13.7302321619968
290,300,216.25,1.5284268951564,13.8465979371114
290,300,216.875,1.52838303180755,13.9639274629183
290,300,217.5,1.52833418778797,14.0822453914065
290,300,218.125,1.52828029858444,14.2015771056012
290,300,218.75,1.52822129576279,14.3219487484302
290,300,219.375,1.52815710686029,14.4433872529395
290,300,220,1.52808765527091,14.5659203739342
290,300,220.625,1.5280128601228,14.6895767211223
290,300,221.25,1.52793263614782,14.8143857938472
290,300,221.875,1.52784689354272,14.9403780174983
290,300,222.5,1.52775553782153,15.0675847816958
290,300,223.125,1.52765846965869,15.1960384803507
290,300,223.75,1.52755558472253,15.325772553711
290,300,224.375,1.52744677349859,15.4568215325077
290,300,225,1.5273319211021,15.589221084326
290,300,225.625,1.52721090707925,15.7230080623337
