"ResFreq [GHz]","ResFreq2 [GHz]","Freq [GHz]","ang_deg(Z(1,1)) []","mag(Z(1,1)) []"
270,282.5,125,1.45094260312691,2.45739234631494
270,282.5,125.625,1.45471826777765,2.54851660063809
270,282.5,126.25,1.45822130584875,2.63944788919473
270,282.5,126.875,1.4614800379796,2.73019033520687
270,282.5,127.5,1.46451900024779,2.82074847100181
270,282.5,128.125,1.46735955402522,2.91112716076136
270,282.5,128.75,1.47002038186357,3.00133153841108
270,282.5,129.375,1.47251789345258,3.09136695742567
270,282.5,130,1.47486656007942,3.18123895008506
270,282.5,130.625,1.47707919183288,3.27095319427886
270,282.5,131.25,1.47916716864889,3.36051548638024
270,282.5,131.875,1.48114063390656,3.4499317190304
270,282.5,132.5,1.48300865745831,3.5392078629196
270,282.5,133.125,1.48477937357104,3.62834995183871
270,282.5,133.75,1.48646009816317,3.71736407042121
270,282.5,134.375,1.48805742886932,3.80625634410935
270,282.5,135,1.48957733079301,3.89503293096783
270,282.5,135.625,1.49102521027673,3.98370001503863
270,282.5,136.25,1.49240597859575,4.07226380098733
270,282.5,136.875,1.4937241071436,4.16073050983591
270,282.5,137.5,1.4949836754046,4.2491063756133
270,282.5,138.125,1.49618841278847,4.33739764278408
270,282.5,138.75,1.49734173522318,4.42561056433955
270,282.5,139.375,1.49844677725535,4.51375140045475
270,282.5,140,1.49950642028828,4.60182641763069
270,282.5,140.625,1.50052331748829,4.68984188825437
270,282.5,141.25,1.50149991580866,4.77780409051977
270,282.5,141.875,1.5024384755124,4.86571930866206
270,282.5,142.5,1.50334108751878,4.95359383346453
270,282.5,143.125,1.50420968885102,5.04143396300434
270,282.5,143.75,1.50504607642303,5.1292460036081
270,282.5,144.375,1.50585191936954,5.21703627099275
270,282.5,145,1.5066287700958,5.30481109157104
270,282.5,145.625,1.50737807419914,5.3925768039041
270,282.5,146.25,1.50810117939426,5.48033976028598
270,282.5,146.875,1.50879934355685,5.56810632844774
270,282.5,147.5,1.50947374198528,5.65588289337022
270,282.5,148.125,1.51012547396753,5.74367585919679
270,282.5,148.75,1.51075556872943,5.8314916512382
270,282.5,149.375,1.51136499083103,5.91933671806364
270,282.5,150,1.51195464506981,6.00721753367244
270,282.5,150.625,1.51252538094233,6.09514059974262
270,282.5,151.25,1.51307799670986,6.18311244795248
270,282.5,151.875,1.51361324310831,6.27113964237289
270,282.5,152.5,1.51413182673809,6.3592287819281
270,282.5,153.125,1.5146344131655,6.44738650292369
270,282.5,153.75,1.51512162976375,6.53561948164076
270,282.5,154.375,1.51559406831869,6.62393443699579
270,282.5,155,1.51605228742142,6.71233813326633
270,282.5,155.625,1.51649681466789,6.80083738288257
270,282.5,156.25,1.51692814868307,6.88943904928572
270,282.5,156.875,1.51734676098582,6.97815004985401
