"ResFreq [GHz]","ResFreq2 [GHz]","Freq [GHz]","ang_deg(Z(1,1)) []","mag(Z(1,1)) []"
300,290,232.5,1.52741505154607,15.8805690247997
300,290,233.125,1.52730837635543,16.0111634519627
300,290,233.75,1.52719594325437,16.143070317813
300,290,234.375,1.52707763411327,16.2763244905303
300,290,235,1.52695332543261,16.4109619785691
300,290,235.625,1.52682288813919,16.5470199789962
300,290,236.25,1.52668618737052,16.6845369282842
300,290,236.875,1.52654308224693,16.8235525557081
300,290,237.5,1.52639342563048,16.9641079395041
300,290,238.125,1.52623706386998,17.1062455659555
300,290,238.75,1.52607383653128,17.2500093915888
300,290,239.375,1.52590357611196,17.3954449086707
300,290,240,1.52572610773939,17.542599214214
300,290,240.625,1.52554124885121,17.6915210827119
300,290,241.25,1.52534880885705,17.8422610428394
300,290,241.875,1.52514858878031,17.9948714583769
300,290,242.5,1.52494038087884,18.1494066136281
300,290,243.125,1.52472396824287,18.3059228036275
300,290,243.75,1.52449912436895,18.4644784294539
300,290,244.375,1.52426561270823,18.6251340989884
300,290,245,1.5240231861872,18.7879527334859
300,290,245.625,1.52377158669923,18.9529996803527
300,290,246.25,1.52351054456479,19.1203428325567
300,290,246.875,1.52323977795806,19.2900527551297
300,290,247.5,1.52295899229777,19.4622028192578
300,290,248.125,1.52266787959959,19.6368693444947
300,290,248.75,1.52236611778728,19.8141317496799
300,290,249.375,1.52205336995965,19.9940727131854
300,290,250,1.52172928361001,20.1767783431745
300,290,250.625,1.52139348979468,20.3623383586052
300,290,251.25,1.52104560224655,20.5508462817792
300,290,251.875,1.52068521642964,20.7423996433034
300,290,252.5,1.52031190853002,20.9371002004053
300,290,253.125,1.51992523437815,21.1350541696287
300,290,253.75,1.51952472829726,21.3363724750233
300,290,254.375,1.51910990187179,21.5411710130454
300,290,255,1.51868024262945,21.7495709354939
300,290,255.625,1.51823521262991,21.961698951928
300,290,256.25,1.51777424695224,22.1776876531475
300,290,256.875,1.51729675207275,22.3976758574639
300,290,257.5,1.51680210412388,22.6218089816529
300,290,258.125,1.51628964702388,22.8502394386633
300,290,258.75,1.51575869046612,23.0831270643542
300,290,259.375,1.51520850775563,23.3206395757575
300,290,260,1.51463833347917,23.562953063612
300,290,260.625,1.51404736099391,23.8102525221869
300,290,261.25,1.51343473971799,24.0627324197237
300,290,261.875,1.51279957220459,24.3205973131661
300,290,262.5,1.51214091097922,24.5840625112306
300,290,263.125,1.51145775511745,24.8533547902987
300,290,263.75,1.51074904653813,25.1287131680901
300,290,264.375,1.51001366598412,25.4103897406161
300,290,265,1.5092504286593,25.6986505885122
300,290,265.625,1.5084580794873,25.9937767595326
300,290,266.25,1.507635287953,26.29606533475
300,290,266.875,1.50678064248329,26.6058305868683
300,290,267.5,1.50589264431851,26.9234052400316
300,290,268.125,1.50496970081972,27.249141841613
300,290,268.75,1.50401011815004,27.5834142577185
300,290,269.375,1.50301209326083,27.9266193055587
300,290,270,1.50197370510391,28.2791785374555
300,290,270.625,1.50089290498113,28.6415401930864
300,290,271.25,1.49976750593032,29.0141813386672
300,290,271.875,1.49859517103288,29.3976102141691
300,290,272.5,1.49737340051244,29.792368812409
300,290,273.125,1.49609951747512,30.1990357169986
300,290,273.75,1.49477065212034,30.618229229756
300,290,274.375,1.49338372422581,31.0506108223403
300,290,275,1.49193542368026,31.4968889516758
300,290,275.625,1.49042218880267,31.957823284272
300,290,276.25,1.48884018214513,32.4342293809647
300,290,276.875,1.48718526342708,32.9269839010402
300,290,277.5,1.48545295919022,33.4370303933349
300,290,278.125,1.48363842869292,33.9653857519397
300,290,278.75,1.48173642547842,34.5131474258111
300,290,279.375,1.47974125394893,35.0815014851828
300,290,280,1.47764672015328,35.6717316635027
300,290,280.625,1.47544607584411,36.285229512036
300,290,281.25,1.47313195467342,36.9235058256724
300,290,281.875,1.4706962991648,37.5882035232477
300,290,282.5,1.46813027681338,38.281112194196
300,290,283.125,1.46542418330582,39.0041845558545
300,290,283.75,1.46256733040281,39.7595551022118
300,290,284.375,1.45954791546038,40.5495612647828
300,290,285,1.45635286885516,41.3767674479803
300,290,285.625,1.45296767468957,42.2439923413337
300,290,286.25,1.44937615905912,43.1543399421421
300,290,286.875,1.44556023886015,44.1112347314689
300,290,287.5,1.44149962266937,45.1184614096682
300,290,288.125,1.43717145387532,46.1802094719765
300,290,288.75,1.43254988564081,47.3011226154586
300,290,289.375,1.42760557901032,48.4863523905042
300,290,290,1.4223051231877,49.7416144456316
300,290,290.625,1.41661039872915,51.0732438925343
300,290,291.25,1.41047795709714,52.4882435022406
300,290,291.875,1.40385860728466,53.994314935372
300,290,292.5,1.39669764003283,55.5998615709226
300,290,293.125,1.38893655014065,57.3139613826819
300,290,293.75,1.38051768507819,59.1463569979284
300,290,294.375,1.37139328852758,61.1076532120472
300,290,295,1.36153757339173,63.2101919538694
300,290,295.625,1.3509508406582,65.4702671848361
300,290,296.25,1.33963188788857,67.911538866798
300,290,296.875,1.32750820201774,70.5670753168996
300,290,297.5,1.31437402912394,73.4766765542246
300,290,298.125,1.29990845989551,76.6814192008662
300,290,298.75,1.28375087656484,80.2217667502668
300,290,299.375,1.26554643218157,84.1407903169463
300,290,300,1.24493439867923,88.4887237367871
300,290,300.625,1.22150983553084,93.3261940219402
300,290,301.25,1.19478385820815,98.7260596219492
300,290,301.875,1.16414718679908,104.774385005732
300,290,302.5,1.12883285735057,111.570470283909
300,290,303.125,1.08787376380707,119.224933651936
300,290,303.75,1.0400534354017,127.853597819969
300,290,304.375,0.983853331810194,137.562946053559
300,290,305,0.917409546157183,148.419744399617
300,290,305.625,0.838511266719218,160.393152444057
300,290,306.25,0.744709167335402,173.254656163391
300,290,306.875,0.633654313703927,186.428581685888
300,290,307.5,0.503824382092805,198.825313055197
300,290,308.125,0.355698493900767,208.783917880988
300,290,308.75,0.193032165474543,214.353641447014
300,290,309.375,0.0232442303505164,214.034296269982
300,290,310,-0.144080224668173,207.600659957737
300,290,310.625,-0.300123857604209,196.274929312007
300,290,311.25,-0.439237898910086,182.054757169973
300,290,311.875,-0.559433906323896,166.837392246744
300,290,312.5,-0.661400149371574,151.948713624792
300,290,313.125,-0.747192756900951,138.114112058407
300,290,313.75,-0.81927581645325,125.626349450227
300,290,314.375,-0.880007241207729,114.525285930144
300,290,315,-0.931433592811335,104.725483358815
300,290,315.625,-0.975248421750193,96.0914168054798
300,290,316.25,-1.01282098571317,88.4768051074684
300,290,316.875,-1.04524738165554,81.7430016867113
300,290,317.5,-1.07340290280429,75.7662451902471
300,290,318.125,-1.09798783480646,70.4393987149742
300,290,318.75,-1.11956488357317,65.6711841720902
300,290,319.375,-1.13858877898103,61.3844374746226
300,290,320,-1.15542932648413,57.5141203345719
300,290,320.625,-1.17038924244865,54.0054186088617
300,290,321.25,-1.1837179389743,50.8120554031157
300,290,321.875,-1.1956222006048,47.8948509341159
300,290,322.5,-1.20627448698747,45.2205182923651
300,290,323.125,-1.21581942267204,42.7606676867497
300,290,323.75,-1.22437889929993,40.4909876808054
300,290,324.375,-1.2320561113988,38.3905734001124
300,290,325,-1.23893876845719,36.4413752877468
300,290,325.625,-1.24510166703072,34.6277460903361
300,290,326.25,-1.25060876250495,32.9360676542839
300,290,326.875,-1.2555148470659,31.3544425271577
300,290,327.5,-1.25986691557803,29.8724382304734
300,290,328.125,-1.26370528233011,28.480874427503
300,290,328.75,-1.2670644974182,27.1716451186768
300,290,329.375,-1.26997410073614,25.9375695306928
300,290,330,-1.27245924328089,24.7722665921976
300,290,330.625,-1.27454119911871,23.6700488684833
300,290,331.25,-1.27623778642548,22.6258326098049
300,290,331.875,-1.27756371215832,21.6350611931497
300,290,332.5,-1.27853085187158,20.6936397380566
300,290,333.125,-1.27914847375951,19.7978790792289
300,290,333.75,-1.2794234140396,18.9444476025964
300,290,334.375,-1.27936020916999,18.1303297132814
